Index,Joueur,Age,Equipe,Position,Ligue,Matchs joues,Titularisations,Minutes jouees,Nombre de matchs de 90 minutes,Buts,Passes decisives,Buts + Passes decisives,Buts hors penalty,Penaltys marques,Penaltys tentes,Cartons jaunes,Cartons rouges,Buts attendus (xG),Buts attendus hors penalty (npxG),Passes decisives attendues (xAG),Somme des buts et passes attendus hors penalty,Courses progressives,Passes progressives,Receptions progressives,Buts par 90 minutes,Passes decisives par 90 minutes,Buts + Passes par 90 minutes,Buts hors penalty par 90 minutes,Buts + Passes hors penalty par 90 minutes,Buts attendus par 90 minutes,Passes decisives attendues par 90 minutes,Buts et passes attendus par 90 minutes,Buts attendus hors penalty par 90 minutes,Somme des contributions attendues par 90 minutes,Matchs de 90 minutes,Actions menant a un tir,Actions menant a un tir par 90 minutes,Actions menant a un tir via passe,Actions menant a un tir via passe arretee,Actions menant a un tir via dribble reussi,Actions menant a un tir via une tentative de tir,Actions menant a un tir via une faute subie,Actions menant a un tir via action d�fensive,Actions menant a un but,Actions menant a un but par 90 minutes,Actions menant a un but via passe,Actions menant a un but via passe arretee,Actions menant a un but via dribble reussi,Actions menant a un but via une tentative de tir,Actions menant a un but via une faute subie,Actions menant a un but via action defensive,Passes reussies,Passes tentees,Pourcentage de passes reussies,Distance totale des passes,Distance progressive des passes,Passes courtes reussies,Passes courtes tentees,Pourcentage de passes courtes reussies,Passes moyennes reussies,Passes moyennes tentees,Pourcentage de passes moyennes reussies,Passes longues reussies,Passes longues tentees,Pourcentage de passes longues reussies,Difference entre passes et passes attendues,Passes cles,Passes dans le dernier tiers,Passes dans la surface de r�paration,Centres dans la surface,Passes progressives.1,Deuxi�me carton jaune,Fautes commises,Fautes subies,Hors-jeux,Centres tentes,Interceptions,Tacles reussis,Penaltys obtenus,Penaltys concedes,Buts contre son camp,Ballons recuperes,Duels aeriens gagnes,Duels aeriens perdus,Pourcentage de duels aeriens gagnes,Tirs,Tirs cadres,Pourcentage de tirs cadres,Tirs par 90 minutes,Tirs cadres par 90 minutes,Buts par tir,Buts par tir cadre,Distance moyenne des tirs,Coups francs tentes,Penaltys marques.1,Penaltys tentes.1,Buts attendus hors penalty par tir,Difference entre buts marques et attendus,Difference entre buts hors penalty marques et attendus,Tacles,Tacles reussis.1,Tacles dans le tiers d�fensif,Tacles dans le tiers median,Tacles dans le tiers offensif,Duels defensifs gagnes,Duels defensifs tentes,Pourcentage de duels gagnes,Duels perdus,Contres,Tirs contres,Passes bloquees,Interceptions.1,Total tacles + interceptions,Degagements,Erreurs menant a un tir,Minutes par match joue,Pourcentage de minutes jouees,Titularisations.1,Minutes par titularisation,Matchs complets,Remplacements,Minutes par entree en jeu,Matchs non joues,Points par match,Succes d equipe buts marques,Succes d equipe buts concedes,Succes d'�quipe �,Succes d equipe +/-90,Succes d equipe On-Off,Succes d equipe (xG) buts attendus marques,Succes d equipe (xG) buts attendus concedes,Succes d equipe (xG) difference xG (xG+/-),Succes d equipe (xG) difference xG par 90 minutes (xG+/-90),Succes d equipe (xG) On-Off,Touches de balle,Touches de balle surface defensive,Touches de balle tiers defensif,Touches de balle tiers median,Touches de balle tiers offensif,Touches de balle surface offensive,Touches de balle en jeu,Dribbles tentes,Dribbles reussis,Pourcentage de dribbles reussis,Dribbles arretes par l adversaire,Pourcentage de dribbles arretes,Portees de balle,Distance totale des portees de balle,Distance progressive des portees de balle,Portees progressives,Portees dans le dernier tiers,Portees jusqu a la surface de reparation
992,Gonçalo Guedes,28,Wolves,Milieu,Premier League,21,6,695,7,2,4,6,2,0,0,1,0,2,2,1,3,26,27,50,0,0,0,0,0,0,0,0,0,0,7,20,2,18,0,1,0,1,0,8,1,7,0,1,0,0,0,170,234,72,2920,737,84,102,82,68,88,77,13,28,46,3,10,13,13,5,27,0,14,14,2,16,4,4,0,0,0,30,3,8,27,18,7,38,2,0,0,0,19,0,0,0,0,0,0,14,4,2,5,7,3,14,21,11,9,0,9,4,18,3,0,33,32,6,69,0,15,19,3,0,14,16,-2,0,0,9,12,-3,0,0,340,4,39,147,166,24,340,20,5,25,11,55,202,1502,740,26,17,3
993,Axel Gueguin,19,Montpellier,Attaquant,Ligue 1,1,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,83,75,34,3,3,100,2,2,100,0,0,0,0,0,0,0,0,1,0,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,100,0,0,0,0,0,1,0,0,23,1,0,0,0,1,23,4,0,1,1,0,0,1,0,1,-1,-3,-3,9,0,2,3,4,1,9,1,0,0,1,100,2,4,1,0,0,0
994,Marc Guéhi,24,Crystal Palace,Défenseur,Premier League,23,23,2070,23,3,1,4,3,0,0,5,0,1,1,0,2,10,90,5,0,0,0,0,0,0,0,0,0,0,23,21,0,16,0,0,3,2,0,2,0,2,0,0,0,0,0,1004,1217,82,19952,8234,335,371,90,544,611,89,119,216,55,0,7,81,7,2,90,0,12,19,0,9,14,19,0,0,2,105,57,34,62,10,5,50,0,0,0,0,9,0,0,0,0,1,1,36,19,25,10,1,19,28,67,9,44,19,25,14,50,111,1,90,95,23,90,23,0,0,0,1,26,29,-3,0,-1,31,31,0,0,-1,1463,239,788,601,83,20,1463,12,10,83,2,16,787,3882,1973,10,13,1
995,Mattéo Guendouzi,25,Lazio,Milieu,Serie A,24,24,2113,23,1,3,4,1,0,0,3,0,0,0,2,3,69,213,41,0,0,0,0,0,0,0,0,0,0,23,75,3,66,3,2,3,1,0,6,0,6,0,0,0,0,0,1265,1405,90,23111,6173,504,531,94,633,671,94,115,155,74,0,27,196,18,3,213,0,19,24,1,15,22,12,0,1,0,108,10,11,47,19,4,21,0,0,0,0,20,0,0,0,0,0,0,22,12,5,12,5,10,29,34,19,22,6,16,22,44,26,1,88,97,24,88,20,0,0,0,1,44,31,13,0,0,35,26,9,0,-2,1562,42,225,1006,350,25,1562,19,14,73,5,26,994,6425,3699,69,53,6
996,Javier Guerra,22,Valencia,Milieu,La Liga,22,17,1435,15,1,2,3,1,0,0,1,0,1,1,2,3,24,69,42,0,0,0,0,0,0,0,0,0,0,15,32,2,21,4,1,3,2,1,4,0,2,0,0,2,0,0,479,643,74,8325,2538,223,261,85,204,242,84,43,87,49,0,12,56,14,4,69,0,16,22,0,33,10,18,0,0,0,90,11,13,45,23,4,17,1,0,0,0,23,0,0,0,0,0,0,36,18,12,14,10,18,36,50,18,8,0,8,10,46,23,1,65,69,17,79,6,5,17,1,0,20,25,-5,0,0,17,23,-5,0,0,845,27,167,479,215,25,845,38,15,39,20,52,470,2470,1262,24,23,7
997,Raphaël Guerreiro,31,Bayern Munich,Défenseur,Bundesliga,16,14,1155,12,1,2,3,1,0,0,0,0,0,0,2,3,29,61,89,0,0,0,0,0,0,0,0,0,0,12,46,3,42,3,0,1,0,0,7,0,6,0,0,1,0,0,892,1009,88,12159,3076,583,618,94,271,305,88,15,31,48,0,25,59,17,1,61,0,5,6,0,24,9,8,0,0,0,75,4,6,40,12,4,33,0,0,0,0,18,0,0,0,0,0,0,13,8,6,4,3,10,13,76,3,8,0,8,9,22,12,1,72,61,14,79,4,2,22,5,2,37,9,28,2,0,27,7,20,1,0,1103,24,192,504,413,37,1103,16,7,43,8,50,591,2575,1241,29,27,5
998,Evann Guessand,23,Nice,Attaquant,Ligue 1,21,21,1790,19,9,5,14,9,0,0,2,0,6,6,4,10,63,60,107,0,0,0,0,0,0,0,0,0,0,19,71,3,46,0,11,5,5,4,13,0,7,0,2,2,1,1,306,403,75,4295,1212,183,225,81,108,137,78,8,15,53,0,26,32,21,4,60,0,30,48,7,26,12,21,1,0,0,73,19,27,41,46,20,43,2,1,0,0,12,0,0,0,0,2,2,33,21,9,14,10,5,9,55,4,15,1,14,12,45,12,0,85,94,21,85,13,0,0,0,1,38,25,13,0,-1,35,24,10,0,0,638,13,65,298,297,88,638,70,34,48,32,45,400,2843,1744,63,38,20
999,Ander Guevara,27,Alavés,Milieu,La Liga,21,14,1361,15,0,1,1,0,0,0,1,0,0,0,0,0,10,77,11,0,0,0,0,0,0,0,0,0,0,15,26,1,24,1,1,0,0,0,5,0,5,0,0,0,0,0,535,693,77,9586,2786,219,262,83,253,308,82,52,80,65,0,8,71,6,0,77,0,23,14,0,3,7,23,0,0,0,80,19,24,44,7,1,14,0,0,0,0,21,0,0,0,0,0,0,37,23,15,21,1,18,40,45,22,17,4,13,7,44,32,1,65,65,14,80,6,7,35,2,0,18,18,0,0,1,16,16,0,0,0,847,47,197,530,125,9,847,13,7,53,5,38,360,1657,839,10,13,0
1000,Pape Gueye,26,Villarreal,Milieu,La Liga,21,17,1481,16,1,0,1,1,0,0,5,1,2,2,0,2,26,101,52,0,0,0,0,0,0,0,0,0,0,16,31,1,24,2,0,2,1,2,5,0,3,1,0,1,0,0,574,726,79,10599,3582,248,282,87,254,301,84,66,112,58,0,10,78,14,2,101,1,24,47,4,12,18,18,0,0,0,83,20,19,51,35,10,28,2,0,0,0,17,0,0,0,0,-1,-1,38,18,16,16,6,15,17,88,2,16,6,10,18,56,34,1,71,71,17,82,10,4,20,0,1,28,21,7,0,0,26,16,9,0,0,932,46,217,536,189,45,932,22,6,27,10,45,535,2610,1414,26,21,7
1001,Morgan Guilavogui,26,St. Pauli,Attaquant,Bundesliga,18,16,1308,14,5,1,6,5,0,0,5,0,5,5,1,7,28,31,95,0,0,0,0,0,0,0,0,0,0,14,41,2,29,0,6,2,2,2,2,0,1,0,1,0,0,0,276,416,66,3636,964,174,229,76,69,108,63,13,27,48,0,22,24,8,3,31,0,33,23,8,10,11,16,0,0,0,53,53,53,50,32,9,28,2,0,0,0,13,0,0,0,0,0,0,31,16,10,16,5,14,27,51,13,25,0,25,11,42,27,0,73,69,16,79,6,2,25,0,1,12,10,2,0,1,16,17,-1,0,0,645,24,89,289,275,71,645,37,16,43,17,45,285,1530,709,28,21,16
1002,Frederic Guilbert,30,Lecce,Défenseur,Serie A,19,19,1513,16,0,0,0,0,0,0,2,2,0,0,1,1,27,52,31,0,0,0,0,0,0,0,0,0,0,16,21,1,15,5,0,0,0,1,1,0,1,0,0,0,0,0,631,814,77,11407,4991,282,321,87,265,327,81,70,124,56,-1,9,48,11,7,52,0,20,16,1,32,29,24,0,1,0,51,22,14,61,6,0,0,0,0,0,0,26,0,0,0,0,0,0,48,24,19,23,6,24,38,63,14,18,7,11,29,77,79,3,80,70,19,80,11,0,0,0,1,16,24,-8,0,1,16,23,-6,0,0,1038,79,372,493,193,3,1038,29,12,41,12,41,428,2329,1187,27,19,2
1003,Luis Guilherme,19,West Ham,Milieu,Premier League,6,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,6,0,0,0,0,0,0,0,0,0,0,0,6,10,3,1,0,1,1,0,0,0,0,0,0,0,0,0,21,26,80,359,110,14,15,93,4,6,66,3,4,75,0,2,0,3,2,2,0,0,2,0,5,2,0,0,0,0,4,1,1,50,1,0,0,1,0,0,0,23,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,5,0,5,2,3,1,0,9,2,0,0,0,6,9,14,0,0,2,-2,-3,-2,1,1,0,0,0,42,3,11,10,21,2,42,4,0,0,2,50,18,148,69,1,2,1
1004,Hugo Guillamón,25,Valencia,Milieu,La Liga,11,4,363,4,0,0,0,0,0,0,2,0,0,0,0,0,0,15,5,0,0,0,0,0,0,0,0,0,0,4,7,1,6,0,1,0,0,0,1,0,1,0,0,0,0,0,154,188,81,2607,748,75,86,87,64,75,85,13,23,56,0,2,11,4,1,15,0,6,4,1,1,5,8,0,0,0,21,5,4,55,2,1,50,0,0,0,0,24,0,0,0,0,0,0,11,8,1,9,1,9,10,90,1,3,1,2,5,16,9,1,33,17,4,70,1,7,12,12,1,1,7,-6,-1,-1,1,8,-7,-1,-1,227,13,62,128,37,1,227,2,1,50,1,50,85,364,129,0,1,0
1005,Bruno Guimarães,27,Newcastle Utd,Milieu,Premier League,24,24,2088,23,2,6,8,2,0,0,3,0,2,2,5,7,32,177,55,0,0,0,0,0,0,0,0,0,0,23,85,3,76,2,2,0,3,2,14,0,13,1,0,0,0,0,971,1169,83,16097,5472,485,539,90,377,425,88,77,129,59,0,36,118,45,4,177,0,36,82,1,15,21,31,0,0,0,117,13,10,56,28,6,21,1,0,0,0,18,0,0,0,0,0,0,52,31,25,19,8,24,47,51,23,21,7,14,21,73,27,3,87,96,24,87,14,0,0,0,1,42,27,15,0,3,39,28,10,0,-1,1443,56,319,752,387,38,1443,57,24,42,17,29,973,5325,2235,32,28,5
1006,Carlos Guirao,21,Betis,Milieu,La Liga,2,2,110,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,46,78,539,117,19,21,90,12,13,92,3,5,60,0,0,3,0,0,2,0,4,0,0,0,3,3,0,0,0,6,2,1,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,1,4,0,4,6,66,2,1,1,0,3,8,2,0,55,5,2,55,0,0,0,1,0,1,6,-5,-4,-4,0,2,-1,-1,-1,60,3,14,38,10,1,60,1,1,100,0,0,28,134,60,1,1,0
1007,Bahereba Guirassy,18,Nantes,Attaquant,Ligue 1,12,2,273,3,2,0,2,2,0,0,0,0,0,0,0,0,11,6,27,0,0,0,0,0,0,0,0,0,0,3,8,2,5,0,2,0,1,0,2,0,0,0,2,0,0,0,66,96,68,922,214,40,52,76,19,21,90,4,10,40,0,1,4,1,0,6,0,3,1,0,5,0,5,0,0,0,20,5,8,38,5,3,60,1,0,0,0,14,0,0,0,0,1,1,8,5,3,2,3,3,8,37,5,8,0,8,0,8,3,0,23,14,2,69,0,10,14,3,1,5,6,-1,0,0,2,5,-2,0,0,151,4,24,59,71,12,151,22,9,40,13,59,91,573,283,11,10,4
1008,Serhou Guirassy,28,Dortmund,Attaquant,Bundesliga,18,18,1601,17,9,1,10,7,2,2,2,0,9,7,2,9,10,23,73,0,0,0,0,0,0,0,0,0,0,17,25,1,15,0,1,4,5,0,4,0,2,0,0,0,2,0,264,362,72,3474,524,166,204,81,67,92,72,11,17,64,-1,12,16,6,0,23,0,11,36,7,0,3,2,2,0,0,26,65,60,52,46,16,34,2,0,0,0,12,1,2,2,0,0,0,3,2,1,0,2,0,1,0,1,7,3,4,3,6,23,0,89,84,18,89,17,0,0,0,1,30,35,-5,0,-2,25,23,2,0,0,556,27,47,297,215,79,554,21,6,28,11,52,300,1297,431,10,11,7
1009,Marc Guiu,19,Chelsea,Attaquant,Premier League,3,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,16,68,110,4,9,13,69,1,2,50,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,100,0,0,0,0,0,1,0,0,24,3,0,0,0,3,24,9,1,2,2,0,0,0,0,1,0,0,-1,22,0,2,8,12,3,22,1,0,0,1,100,12,30,8,0,0,0
1010,Péter Gulácsi,34,RB Leipzig,Gardien,Bundesliga,20,20,1755,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,482,585,82,11594,6903,108,108,100,249,254,98,125,222,56,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,23,6,1,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,6,3,88,92,20,88,19,0,0,1,1,31,28,3,0,-2,25,31,-6,0,-1,641,531,629,13,0,0,641,0,0,0,0,0,343,1483,767,0,0,0
1011,Arda Güler,19,Real Madrid,Milieu,La Liga,16,6,608,6,1,3,4,1,0,0,1,0,1,1,1,3,17,38,47,0,0,0,0,0,0,0,0,0,0,6,35,5,24,3,4,3,0,1,6,0,3,1,0,2,0,0,322,374,86,5125,1195,181,194,93,107,122,87,25,36,69,1,18,33,14,2,38,0,10,20,4,17,3,6,0,0,0,28,6,6,50,19,8,42,2,1,0,0,18,1,0,0,0,0,0,16,6,6,3,7,6,13,46,7,10,0,10,3,19,6,0,38,29,6,73,0,10,17,7,2,13,7,6,0,0,13,5,7,1,0,466,11,65,188,218,26,466,26,11,42,10,38,296,1473,716,17,19,6
1012,Gerard Gumbau,30,Rayo Vallecano,Milieu,La Liga,11,4,473,5,0,1,1,0,0,0,2,0,0,0,1,1,1,18,16,0,0,0,0,0,0,0,0,0,0,5,17,3,11,5,1,0,0,0,1,0,1,0,0,0,0,0,144,210,68,2636,915,63,77,81,54,72,75,21,49,42,0,10,20,3,1,18,0,12,4,2,25,3,11,0,0,0,12,10,14,41,6,3,50,1,0,0,0,19,0,0,0,0,0,0,13,11,7,5,1,6,11,54,5,6,3,3,3,16,10,0,43,22,4,64,0,7,31,11,1,5,8,-3,0,0,7,7,0,0,0,265,15,57,137,71,6,265,3,1,33,2,66,116,378,143,1,5,0
1013,Robert Gumny,26,Augsburg,Défenseur,Bundesliga,4,1,147,1,0,0,0,0,0,0,2,0,0,0,0,0,3,6,6,0,0,0,0,0,0,0,0,0,0,1,5,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,56,75,74,858,356,24,28,85,25,30,83,5,11,45,0,2,2,1,1,6,0,3,3,0,2,0,2,0,0,0,8,2,2,50,2,2,100,1,1,0,0,16,0,0,0,0,0,0,2,2,1,1,0,1,3,33,2,1,0,1,0,2,5,0,37,7,1,72,0,3,25,2,1,3,3,0,0,0,1,2,-1,0,0,94,8,27,33,34,2,94,4,1,25,2,50,43,187,83,3,2,0
1014,İlkay Gündoğan,34,Manchester City,Milieu,Premier League,21,15,1344,14,0,1,1,0,0,0,1,0,1,1,1,3,37,87,59,0,0,0,0,0,0,0,0,0,0,14,46,3,39,3,3,1,0,0,4,0,4,0,0,0,0,0,956,1075,88,14655,2736,540,573,94,340,364,93,55,97,56,0,24,63,15,1,87,0,10,17,0,44,12,10,0,0,0,74,11,6,64,16,4,25,1,0,0,0,18,2,0,0,0,-1,-1,17,10,4,9,4,9,20,45,11,8,0,8,12,29,15,0,64,62,15,83,8,6,17,2,1,30,23,7,0,0,25,24,1,0,0,1188,28,181,567,457,43,1188,23,13,56,6,26,702,3949,1861,37,37,7
1015,Christian Günter,31,Freiburg,Défenseur,Bundesliga,20,20,1700,18,2,1,3,2,0,0,0,0,0,0,1,1,16,34,80,0,0,0,0,0,0,0,0,0,0,18,38,2,30,5,0,2,1,0,2,0,1,1,0,0,0,0,661,871,75,10685,3191,345,387,89,252,325,77,45,108,41,0,20,42,20,15,34,0,11,3,2,81,8,15,0,0,0,47,4,12,25,18,6,33,0,0,0,0,22,1,0,0,0,1,1,17,15,11,5,1,12,24,50,12,15,8,7,8,25,34,0,85,89,20,85,11,0,0,1,1,27,31,-4,0,1,22,23,0,0,0,982,48,277,408,301,21,982,5,2,40,3,60,422,1650,786,16,14,6
1016,Jon Guridi,29,Alavés,Milieu,La Liga,21,17,1389,15,2,0,2,1,1,1,4,0,1,0,0,1,19,60,55,0,0,0,0,0,0,0,0,0,0,15,32,2,23,3,1,3,1,1,6,0,4,0,1,1,0,0,401,514,78,6308,1584,206,253,81,152,184,82,30,43,69,0,12,42,8,2,60,0,22,11,4,12,10,13,0,1,0,67,23,32,41,12,6,50,0,0,0,0,16,0,1,1,0,0,0,25,13,5,16,4,11,30,36,19,17,1,16,10,35,8,0,66,67,17,75,5,4,27,1,1,17,19,-2,0,0,15,14,0,0,0,641,14,89,354,203,32,640,14,5,35,7,50,319,1816,807,19,18,1
1017,Gorka Guruzeta,28,Athletic Club,Attaquant,La Liga,22,13,1175,13,5,2,7,5,0,0,2,0,3,3,0,4,4,15,42,0,0,0,0,0,0,0,0,0,0,13,20,1,14,1,0,4,0,1,1,0,1,0,0,0,0,0,195,260,75,2797,285,115,143,80,63,81,77,9,18,50,1,11,12,0,0,15,0,31,15,3,2,5,4,0,0,0,40,22,49,31,36,13,36,2,1,0,0,13,0,0,0,0,1,1,10,4,0,9,1,6,22,27,16,21,2,19,5,15,13,0,53,56,13,71,3,9,28,0,1,21,11,10,0,0,17,11,6,0,0,402,11,35,203,167,49,402,11,6,54,5,45,174,720,227,4,7,1
1018,Malo Gusto,21,Chelsea,Défenseur,Premier League,20,14,1302,14,0,1,1,0,0,0,3,0,1,1,0,2,33,75,64,0,0,0,0,0,0,0,0,0,0,14,37,2,36,0,0,1,0,0,3,0,3,0,0,0,0,0,833,966,86,13540,3394,416,442,94,344,394,87,52,82,63,0,13,78,11,4,75,0,13,13,1,36,15,22,0,0,0,77,6,10,37,17,2,11,1,0,0,0,20,0,0,0,0,-1,-1,33,22,18,13,2,18,33,54,15,23,6,17,15,48,30,2,65,60,14,84,10,6,21,1,1,30,19,11,0,0,29,20,9,0,0,1111,33,279,528,313,34,1111,10,3,30,7,70,595,2838,1465,33,26,3
1019,Miguel Gutiérrez,23,Girona,Défenseur,La Liga,20,20,1688,18,1,4,5,1,0,0,2,0,1,1,3,4,44,82,147,0,0,0,0,0,0,0,0,0,0,18,50,2,42,6,0,2,0,0,7,0,5,1,0,1,0,0,925,1102,83,15152,3738,500,539,92,337,393,85,69,110,62,0,28,42,37,17,82,0,18,19,5,102,12,20,0,1,0,110,4,10,28,20,8,40,1,0,0,0,22,1,0,0,0,0,0,30,20,15,13,2,13,23,56,10,9,3,6,12,42,23,2,84,81,20,84,17,0,0,1,1,28,26,2,0,1,25,22,3,0,1,1267,45,271,481,527,38,1267,40,19,47,19,47,711,3872,1645,44,30,8
1020,Albert Guðmundsson,27,Fiorentina,Milieu,Serie A,12,9,653,7,4,0,4,2,2,2,0,0,2,1,0,1,18,26,29,0,0,0,0,0,0,0,0,0,0,7,23,3,14,2,1,3,3,0,2,0,0,0,0,0,2,0,179,227,78,2668,649,98,105,93,61,78,78,10,24,41,0,8,23,2,0,26,0,6,12,0,17,5,2,1,0,0,26,3,9,25,15,5,33,2,0,0,0,22,2,2,2,0,1,0,6,2,2,2,2,5,9,55,4,4,0,4,5,11,5,1,54,31,9,62,1,3,33,2,1,10,6,4,0,0,9,8,1,0,0,292,5,41,143,113,17,290,12,6,50,3,25,168,1199,530,18,10,4
1021,Joško Gvardiol,23,Manchester City,Défenseur,Premier League,23,22,2022,22,5,0,5,5,0,0,1,0,4,3,1,5,56,163,79,0,0,0,0,0,0,0,0,0,0,22,51,2,48,0,2,1,0,0,5,0,4,0,1,0,0,0,1515,1669,90,23609,5961,797,845,94,647,699,92,52,79,65,-1,18,139,17,1,163,0,10,15,2,18,25,23,0,0,0,89,34,21,61,34,11,32,1,0,0,0,13,0,0,0,0,0,1,36,23,16,10,10,14,26,53,12,27,13,14,25,61,68,5,88,93,22,90,21,1,45,1,1,46,32,14,0,1,42,29,12,0,2,1907,80,447,875,602,71,1907,30,19,63,9,30,1211,6245,3514,56,72,12
1022,Emmanuel Gyasi,31,Empoli,Défenseur,Serie A,24,24,2133,23,2,1,3,2,0,0,4,0,2,2,0,2,14,35,72,0,0,0,0,0,0,0,0,0,0,23,20,0,16,3,0,0,1,0,3,0,2,1,0,0,0,0,593,749,79,8992,3223,324,369,87,216,269,80,32,59,54,0,8,32,8,3,35,0,30,11,8,21,5,24,0,0,0,101,24,50,32,9,4,44,0,0,0,0,9,0,0,0,0,0,0,45,24,26,14,5,21,30,70,9,18,7,11,5,50,56,0,89,98,24,89,21,0,0,0,0,22,34,-12,0,2,19,31,-12,0,1,954,69,251,498,213,25,954,26,16,61,8,30,384,1698,603,14,6,4
1023,Christian Gytkjær,34,Venezia,Attaquant,Serie A,18,2,300,3,1,0,1,1,0,0,0,0,0,0,0,0,2,1,20,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,38,67,56,473,50,28,43,65,5,10,50,3,4,75,0,3,3,1,0,1,0,6,2,3,0,0,1,0,0,0,8,6,14,30,6,2,33,1,0,0,0,15,1,0,0,0,0,0,3,1,2,1,0,1,2,50,1,1,1,0,0,3,4,0,17,13,2,65,0,16,11,6,0,5,7,-2,0,0,3,4,-1,0,0,101,5,8,55,39,9,101,0,0,0,0,0,65,196,47,2,1,2
1024,Erling Haaland,24,Manchester City,Attaquant,Premier League,24,24,2124,23,19,2,21,18,1,2,2,0,18,16,2,18,16,15,95,0,0,0,0,0,0,0,0,0,0,23,56,2,37,0,8,10,1,0,6,0,3,0,2,1,0,0,187,288,64,2275,453,130,188,69,40,61,65,4,6,66,0,22,8,5,1,15,0,18,12,4,3,4,4,0,0,0,18,41,35,53,90,50,55,3,2,0,0,12,1,1,2,0,0,1,7,4,2,2,3,1,5,20,4,7,1,6,4,11,21,0,89,98,24,89,21,0,0,0,1,47,35,12,0,-1,43,34,9,0,-1,492,20,34,158,303,151,490,25,10,40,13,52,232,1152,439,16,13,15
1025,Nicolas Haas,29,Empoli,Milieu,Serie A,10,2,287,3,0,0,0,0,0,0,1,0,0,0,0,0,2,9,2,0,0,0,0,0,0,0,0,0,0,3,8,2,6,0,0,0,0,2,0,0,0,0,0,0,0,0,99,121,81,1517,372,51,62,82,39,44,88,5,9,55,0,2,5,0,0,9,0,11,3,0,0,4,8,0,0,0,19,3,5,37,1,0,0,0,0,0,0,31,0,0,0,0,0,0,11,8,4,5,2,5,9,55,4,2,1,1,4,15,6,0,29,13,2,83,1,8,15,2,1,2,3,-1,0,0,1,6,-5,-1,-1,155,4,45,86,25,1,155,1,0,0,0,0,73,258,105,2,1,0
1026,Janik Haberer,30,Union Berlin,Milieu,Bundesliga,16,10,813,9,0,0,0,0,0,0,0,0,0,0,0,0,4,29,13,0,0,0,0,0,0,0,0,0,0,9,18,1,13,1,0,2,2,0,0,0,0,0,0,0,0,0,305,410,74,4823,1410,149,180,82,127,157,80,17,41,41,0,1,21,3,0,29,0,12,6,1,10,8,11,0,0,0,47,7,18,28,8,1,12,0,0,0,0,21,0,0,0,0,0,0,16,11,5,9,2,12,22,54,10,8,0,8,8,24,20,0,51,43,10,74,3,6,13,5,1,8,5,3,0,1,10,9,1,0,0,487,17,139,269,84,10,487,3,0,0,3,100,228,823,339,4,2,0
1027,Robin Hack,26,Gladbach,Attaquant,Bundesliga,20,15,1195,13,2,3,5,2,0,0,4,0,2,2,1,3,27,51,78,0,0,0,0,0,0,0,0,0,0,13,35,2,26,1,2,3,2,1,5,0,5,0,0,0,0,0,385,489,78,5690,1530,226,251,90,115,139,82,28,50,56,1,9,30,15,4,51,0,14,13,5,23,5,11,0,0,0,65,13,13,50,30,13,43,2,0,0,0,20,0,0,0,0,0,0,12,11,5,4,3,7,18,38,11,9,0,9,5,17,16,0,60,63,15,72,0,5,22,1,1,25,16,9,0,1,18,20,-2,0,0,643,14,104,317,228,43,643,37,13,35,22,59,386,2097,931,27,28,10
1028,Saad El Haddad,19,Venezia,Milieu,Serie A,3,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,0,0,0,0,0,0,0,0,0,0,0,2,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,11,14,78,169,13,5,5,100,4,5,80,1,1,100,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,3,10,18,0,0,1,-1,-3,-2,0,0,0,0,0,22,0,0,14,8,1,22,0,0,0,0,0,15,110,35,1,0,0
